feature,shap_norm,ffa_norm,combined_importance
pgx_num_drugs,0.9999999999602733,0.9999999998388728,0.999999999899573
item_drug_CEPHALEXIN,0.08037685423378559,0.010003528997882621,0.045190191615834104
item_drug_SIMVASTATIN,0.053816708477861686,0.005315494140590935,0.02956610130922631
item_drug_LISINOPRIL,0.03387234309551832,0.005656382440293586,0.019764362767905955
item_drug_OMEPRAZOLE,0.03244962905594143,0.0018757250362480644,0.017162677046094747
item_drug_AMOXICILLIN,0.023245390928711307,0.001219606750157604,0.012232498839434456
item_drug_HYDROCHLOROTHIAZIDE,0.015141214659817654,0.00046643105203358085,0.007803822855925617
item_drug_ATENOLOL,0.00896824632886192,0.0001694838772631356,0.004568865103062527
item_drug_CARVEDILOL,0.007133868384745993,0.00014663608012937529,0.003640252232437684
item_drug_LATANOPROST,0.003281586677033863,2.2905949110528707e-05,0.0016522463130721958
item_drug_LORAZEPAM,0.003083505283696426,8.815482117411426e-05,0.0015858300524352702
item_drug_AZITHROMYCIN,0.0007786918897852187,5.818964376910955e-06,0.00039225542708106484
item_drug_ELIQUIS,0.0,0.0,0.0
