feature,shap_norm,ffa_norm,combined_importance,combined_importance_norm
pgx_num_drugs,0.999999999753452,0.9999999998542473,0.9999999998038496,0.9999999999
item_drug_AZITHROMYCIN,0.2693640826475552,0.034947780392675,0.15215593152011508,0.15215593153474494
item_drug_LISINOPRIL,0.13918515172205906,0.011109597386241208,0.07514737455415013,0.07514737456137559
item_drug_CARVEDILOL,0.13291012386450934,0.007892089130670741,0.07040110649759004,0.07040110650435914
item_drug_SIMVASTATIN,0.09145410367979306,0.006131351859671292,0.048792727769732175,0.048792727774423617
item_drug_OMEPRAZOLE,0.0688676075924445,0.0030858380320726367,0.03597672281225857,0.035976722815717746
item_drug_LORAZEPAM,0.06377119173037467,0.0031992613646390886,0.03348522654750688,0.0334852265507265
item_drug_CEPHALEXIN,0.018981667172687434,0.0006859466419894527,0.009833806907338444,0.00983380690828397
item_drug_HYDROCHLOROTHIAZIDE,0.00683661489328967,0.00020227698531897275,0.0035194459393043213,0.0035194459396427178
